"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:27:00 17/07/1980",NA,NA,NA,NA,NA,NA,62,65,NA,NA,11.9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,6.8,65,NA,NA
"10:30:00 06/03/1985",NA,NA,NA,NA,NA,NA,98,65,NA,NA,9.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,12.5,65,NA,NA
"10:30:00 07/08/1985",NA,NA,NA,NA,NA,NA,83,65,NA,NA,11.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,65,8.5,65,NA,NA
"10:30:00 17/09/1982",NA,NA,NA,NA,NA,NA,91,65,NA,NA,10.5,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,7.6,65,NA,NA
"10:30:00 30/09/1983",NA,NA,NA,NA,NA,NA,63,65,NA,NA,11,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,8,65,NA,NA
"10:38:00 15/07/1981",NA,NA,NA,NA,NA,NA,91,65,NA,NA,11.7,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,7,65,NA,NA
"10:40:00 06/01/1984",NA,NA,NA,NA,NA,NA,62,65,NA,NA,9.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,12.5,65,NA,NA
"10:40:00 11/10/1978",NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,180,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,11.3,65,NA,NA
"10:40:00 19/09/1977",NA,NA,NA,NA,NA,NA,66,65,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,8,65,NA,NA
"10:42:00 02/08/1984",NA,NA,NA,NA,NA,NA,79,65,NA,NA,11.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,65,6.2,65,NA,NA
"10:45:00 05/04/1982",NA,NA,NA,NA,NA,NA,85,65,NA,NA,11,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,7.5,65,NA,NA
"10:45:00 05/06/1984",NA,NA,NA,NA,NA,NA,82,65,NA,NA,9.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,6.5,65,NA,NA
"10:45:00 05/10/1981",NA,NA,NA,NA,NA,NA,64,65,NA,NA,10.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,10.5,65,NA,NA
