"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","IronasFe","IronasFe_Qual","ManganeseasMn","ManganeseasMn_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"14:10:00 04/11/1980",46,65,NA,NA,NA,NA,10.4,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,10.5,65,NA,NA
"14:10:00 07/08/1986",41,65,NA,NA,NA,NA,11.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,8,65,NA,NA
"14:15:00 02/10/1985",52,65,NA,NA,NA,NA,9.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,11.5,65,NA,NA
"14:15:00 03/04/1984",86,65,NA,NA,NA,NA,9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,16,65,NA,NA
"14:15:00 04/05/1977",98,65,NA,NA,NA,NA,12.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,65,10.5,65,NA,NA
"14:15:00 06/08/1980",38,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,7,65,NA,NA
"14:15:00 13/05/1986",64,65,NA,NA,NA,NA,11.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,10,65,NA,NA
"14:15:00 20/04/1977",90,65,NA,NA,NA,NA,10.2,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,14,65,NA,NA
"14:20:00 03/02/1988",98,65,NA,NA,NA,NA,8.5,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,22.5,65,NA,NA
"14:20:00 03/05/1984",73,65,NA,NA,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,10.5,65,NA,NA
"14:20:00 21/09/1978",44,65,NA,NA,NA,NA,11.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,11.5,65,NA,NA
"14:30:00 02/12/1980",57,65,NA,NA,NA,NA,8.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,18.5,65,NA,NA
"14:30:00 07/09/1983",30,65,NA,NA,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,9.5,65,NA,NA
"14:35:00 02/05/1980",99,65,NA,NA,NA,NA,10,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,11,65,NA,NA
"14:45:00 04/08/1981",32,65,NA,NA,NA,NA,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,9,65,NA,NA
"14:50:00 04/07/1985",44,65,NA,NA,NA,NA,11.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,7,65,NA,NA
"14:50:00 08/11/1976",57,65,NA,NA,NA,NA,10.9,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,14,65,NA,NA
"15:00:00 06/03/1979",90,65,NA,NA,NA,NA,10.1,65,8.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,19.5,65,NA,NA
"15:00:00 06/09/1978",37,65,NA,NA,NA,NA,11.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,10,65,NA,NA
"15:00:00 08/08/1985",39,65,NA,NA,NA,NA,10.8,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,8.5,65,NA,NA
"15:00:00 18/07/1983",36,65,NA,NA,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,6,65,NA,NA
"15:05:00 05/07/1977",44,65,NA,NA,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,65,6,65,NA,NA
"15:10:00 17/04/1978",87,65,NA,NA,NA,NA,10.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,15,65,NA,NA
