"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"11:15:00 04/03/1996",NA,NA,NA,NA,NA,NA,NA,NA,15,65,50,65,NA,NA,NA,NA,NA,NA,10.6,65,6.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,2,65,2.1,65,15,65,NA,NA,NA,NA
"11:15:00 06/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,9,65,53,65,NA,NA,NA,NA,NA,NA,9.2,65,6.9,65,0.003,65,0.33,65,NA,NA,NA,NA,NA,NA,0.12,65,0.01,65,4,65,1.4,65,15.5,65,NA,NA,NA,NA
"11:15:00 08/01/1996",NA,NA,NA,NA,NA,NA,NA,NA,15,65,49,65,NA,NA,NA,NA,NA,NA,11,65,6.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,2,65,2,65,13.5,65,NA,NA,NA,NA
"11:15:00 08/02/2000",NA,NA,NA,NA,NA,NA,NA,NA,12,65,53,65,NA,NA,NA,NA,NA,NA,8.8,65,7.3,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.15,65,0.006,65,2,65,2,65,21.5,65,NA,NA,NA,NA
"11:15:00 21/08/2008",NA,NA,NA,NA,NA,NA,NA,NA,19,65,90,65,NA,NA,NA,NA,NA,NA,10.9,65,7,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.2,65,0.007,65,2,65,6,65,7,65,NA,NA,NA,NA
"11:20:00 02/04/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,65,NA,NA,NA,NA,NA,NA,9.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,17,65,NA,NA,NA,NA
"11:20:00 04/09/1990",NA,NA,NA,NA,NA,NA,NA,NA,40,65,65,65,NA,NA,NA,NA,NA,NA,11.2,65,6.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.18,65,0.01,65,6,65,1.4,65,9,65,NA,NA,NA,NA
"11:30:00 01/03/1993",NA,NA,NA,NA,NA,NA,NA,NA,10,65,56,65,NA,NA,NA,NA,NA,NA,9.4,65,6.8,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.08,65,0.006,65,4,65,2.3,65,14.5,65,NA,NA,NA,NA
"11:30:00 01/06/1993",NA,NA,NA,NA,NA,NA,NA,NA,10,65,51,65,NA,NA,NA,NA,NA,NA,10.4,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,1,65,3.6,65,10.5,65,NA,NA,NA,NA
"11:30:00 01/10/1996",NA,NA,NA,NA,NA,NA,NA,NA,35,65,68,65,NA,NA,NA,NA,NA,NA,10.2,65,6.7,65,0.003,65,0.4,65,NA,NA,NA,NA,NA,NA,0.14,65,0.04,65,23,65,5,65,10.5,65,NA,NA,NA,NA
"11:30:00 01/12/1992",NA,NA,NA,NA,NA,NA,NA,NA,15,65,62,65,NA,NA,NA,NA,NA,NA,7.2,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.007,65,4,65,1.4,65,13.5,65,NA,NA,NA,NA
"11:30:00 04/04/1995",NA,NA,NA,NA,NA,NA,NA,NA,10,65,54,65,NA,NA,NA,NA,NA,NA,9.9,65,7.3,65,0.003,65,0.5,65,NA,NA,NA,NA,NA,NA,0.09,65,0.005,65,5,65,1.8,65,13.5,65,NA,NA,NA,NA
"11:30:00 04/09/1995",NA,NA,NA,NA,NA,NA,NA,NA,14,65,67,65,NA,NA,NA,NA,NA,NA,11.6,65,6.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,5,65,3.6,65,8,65,NA,NA,NA,NA
"11:30:00 06/03/1995",NA,NA,NA,NA,NA,NA,NA,NA,15,65,93,65,NA,NA,NA,NA,NA,NA,9.6,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.008,65,4,65,2,65,16.5,65,NA,NA,NA,NA
"11:30:00 06/04/1992",NA,NA,NA,NA,NA,NA,NA,NA,20,65,53,65,NA,NA,NA,NA,NA,NA,10,65,7.5,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.07,65,0.005,65,2,65,0.9,65,17,65,NA,NA,NA,NA
"11:30:00 06/04/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,52,65,NA,NA,NA,NA,NA,NA,9.4,65,7.5,65,0.004,65,0.2,65,NA,NA,NA,NA,NA,NA,0.06,65,0.008,65,1,65,1.5,65,16,65,NA,NA,NA,NA
"11:30:00 07/08/1996",NA,NA,NA,NA,NA,NA,NA,NA,8,65,44,65,NA,NA,NA,NA,NA,NA,11.8,65,6.9,65,0.005,65,0.15,65,NA,NA,NA,NA,NA,NA,0.15,65,0.006,65,2,65,2.8,65,9,65,NA,NA,NA,NA
"11:30:00 08/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,11,65,52,65,NA,NA,NA,NA,NA,NA,9.8,65,7,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,2,65,1.4,65,15,65,NA,NA,NA,NA
"11:30:00 09/01/2003",0.05,65,NA,NA,NA,NA,NA,NA,10,65,52,65,NA,NA,NA,NA,NA,NA,10,65,7.5,65,0.003,65,0.33,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,2,65,1.6,65,18.4,65,NA,NA,NA,NA
"11:35:00 05/07/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,NA,NA,NA,NA,NA,NA,10.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,9,65,NA,NA,NA,NA
"11:35:00 11/10/2001",NA,NA,NA,NA,NA,NA,NA,NA,16,65,52,65,NA,NA,NA,NA,NA,NA,10.2,65,7.2,65,0.004,65,0.07,65,NA,NA,NA,NA,NA,NA,0.17,65,0.005,65,1,65,3.6,65,12,65,NA,NA,NA,NA
"11:40:00 17/03/2011",NA,NA,NA,NA,NA,NA,NA,NA,20,1,48,1,NA,NA,NA,NA,NA,NA,9.1,1,6.9,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.11,1,0.008,1,4,1,4.6,1,16.5,1,NA,NA,NA,NA
"11:40:00 19/06/2008",NA,NA,NA,NA,NA,NA,NA,NA,7,65,54,65,NA,NA,NA,NA,NA,NA,10.4,65,6.8,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.21,65,0.005,65,2,65,2.6,65,10.5,65,NA,NA,NA,NA
"11:40:00 28/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,10,65,49,65,NA,NA,NA,NA,NA,NA,11.2,65,7.3,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,3,65,2.2,65,6,65,NA,NA,NA,NA
"11:45:00 04/05/1992",NA,NA,NA,NA,NA,NA,NA,NA,5,65,160,65,NA,NA,NA,NA,NA,NA,10.2,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,4,65,0.5,65,14.5,65,NA,NA,NA,NA
"11:45:00 05/11/1991",NA,NA,NA,NA,NA,NA,NA,NA,20,65,53,65,NA,NA,NA,NA,NA,NA,9.6,65,6.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.006,65,3,65,2.3,65,14.5,65,NA,NA,NA,NA
"11:45:00 07/05/1991",NA,NA,NA,NA,NA,NA,NA,NA,10,65,58,65,NA,NA,NA,NA,NA,NA,12.2,65,6.6,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,2,65,1.5,65,13,65,NA,NA,NA,NA
"11:45:00 07/08/1995",NA,NA,NA,NA,NA,NA,NA,NA,18,65,51,65,NA,NA,NA,NA,NA,NA,11.6,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.17,65,0.009,65,13,65,5,65,7.5,65,NA,NA,NA,NA
"11:45:00 08/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,7,65,53,65,NA,NA,NA,NA,NA,NA,9,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,2,65,2,65,16.5,65,NA,NA,NA,NA
"11:45:00 22/11/2001",NA,NA,NA,NA,NA,NA,NA,NA,18,65,53,65,NA,NA,NA,NA,NA,NA,10,65,7,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.15,65,0.01,65,3,65,4.3,65,14.5,65,NA,NA,NA,NA
"11:45:00 25/11/1999",NA,NA,NA,NA,NA,NA,NA,NA,12,65,51,65,NA,NA,NA,NA,NA,NA,9.6,65,7.5,65,0.003,65,0.75,65,NA,NA,NA,NA,NA,NA,0.14,65,0.02,65,2,65,2.1,65,16,65,NA,NA,NA,NA
"11:50:00 01/02/1994",NA,NA,NA,NA,NA,NA,NA,NA,15,65,52,65,NA,NA,NA,NA,NA,NA,9.8,65,6.9,65,0.006,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.007,65,2,65,2,65,15.6,65,NA,NA,NA,NA
"11:50:00 05/07/1993",NA,NA,NA,NA,NA,NA,NA,NA,15,65,53,65,NA,NA,NA,NA,NA,NA,11.7,65,7.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,1,65,2.5,65,8,65,NA,NA,NA,NA
"11:50:00 12/11/1990",NA,NA,NA,NA,NA,NA,NA,NA,40,65,60,65,NA,NA,NA,NA,NA,NA,9.4,65,6.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,5,65,2.7,65,14.5,65,NA,NA,NA,NA
"12:00:00 02/02/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,73,65,NA,NA,NA,NA,NA,NA,9.2,65,7.2,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.09,65,0.007,65,2,65,2.3,65,16.5,65,NA,NA,NA,NA
"12:00:00 02/11/1992",NA,NA,NA,NA,NA,NA,NA,NA,25,65,45,65,NA,NA,NA,NA,NA,NA,10.2,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,1.6,65,12.5,65,NA,NA,NA,NA
"12:00:00 03/02/1992",NA,NA,NA,NA,NA,NA,NA,NA,5,65,52,65,NA,NA,NA,NA,NA,NA,9,65,7.4,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.005,65,2,65,0.7,65,16.5,65,NA,NA,NA,NA
"12:00:00 04/01/1993",NA,NA,NA,NA,NA,NA,NA,NA,10,65,53,65,NA,NA,NA,NA,NA,NA,8,65,7.5,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,68,65,2,65,17,65,NA,NA,NA,NA
"12:00:00 04/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,9,65,46,65,NA,NA,NA,NA,NA,NA,8.6,65,7.3,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.09,65,0.01,65,2,65,1.6,65,20.5,65,NA,NA,NA,NA
"12:00:00 14/07/2020",NA,NA,NA,NA,NA,NA,NA,NA,70,1,74,1,NA,NA,NA,NA,NA,NA,10.98,1,6.41,1,0.003,1,0.69,1,NA,NA,NA,NA,NA,NA,0.5,1,0.076,1,25,1,20,1,9.5,1,NA,NA,NA,NA
"12:00:00 17/09/2002",NA,NA,NA,NA,NA,NA,NA,NA,16,65,54,65,NA,NA,NA,NA,NA,NA,10.8,65,7.3,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.16,65,0.01,65,12,65,1.1,65,9.7,65,NA,NA,NA,NA
"12:00:00 21/01/2013",NA,NA,NA,NA,NA,NA,NA,NA,20,1,49,1,NA,NA,NA,NA,NA,NA,9.7,1,7.1,1,0.003,1,0.18,1,NA,NA,NA,NA,NA,NA,0.13,1,0.011,1,2,1,3.4,1,20.5,1,NA,NA,NA,NA
"12:00:00 22/08/2018",NA,NA,NA,NA,NA,NA,NA,NA,25,1,56,1,NA,NA,NA,NA,NA,NA,11.2,1,7,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.3,1,0.008,1,2,1,3.9,1,8.5,1,NA,NA,NA,NA
"12:00:00 23/11/2006",NA,NA,NA,NA,NA,NA,NA,NA,8,65,56,65,NA,NA,NA,NA,NA,NA,9.5,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.006,65,4,65,4.4,65,18.2,65,NA,NA,NA,NA
"12:02:00 23/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,12,65,48,65,NA,NA,NA,NA,NA,NA,7.1,65,7,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,2,65,2.3,65,20.6,65,NA,NA,NA,NA
"12:03:00 18/09/2003",NA,NA,NA,NA,NA,NA,NA,NA,45,65,49,65,NA,NA,NA,NA,NA,NA,11.2,65,7.1,65,0.003,65,0.27,65,NA,NA,NA,NA,NA,NA,0.18,65,0.01,65,9,65,NA,NA,9,65,NA,NA,NA,NA
"12:10:00 01/11/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,47,65,NA,NA,NA,NA,NA,NA,10.6,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.006,65,1,65,1.7,65,12,65,NA,NA,NA,NA
"12:10:00 16/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,14,65,56,65,NA,NA,NA,NA,NA,NA,9.5,65,7.5,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.12,65,0.007,65,3,65,1.9,65,17.6,65,NA,NA,NA,NA
"12:10:00 23/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,14,65,53,65,NA,NA,NA,NA,NA,NA,9.1,65,6.8,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.08,65,0.01,65,1,65,1.5,65,19.3,65,NA,NA,NA,NA
"12:15:00 06/10/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,51,65,NA,NA,NA,NA,NA,NA,11.2,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.005,65,2,65,5,65,11.5,65,NA,NA,NA,NA
"12:15:00 06/11/1996",NA,NA,NA,NA,NA,NA,NA,NA,10,65,65,65,NA,NA,NA,NA,NA,NA,10.2,65,7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.005,65,2,65,1.5,65,12.5,65,NA,NA,NA,NA
"12:15:00 19/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,14,65,51,65,NA,NA,NA,NA,NA,NA,9.4,65,6.5,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.09,65,0.005,65,1,65,1.3,65,NA,NA,NA,NA,NA,NA
"12:15:00 22/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,60,65,48,65,NA,NA,NA,NA,NA,NA,8.6,65,6.5,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.09,65,0.02,65,2,65,2.2,65,NA,NA,NA,NA,NA,NA
"12:20:00 03/07/1996",NA,NA,NA,NA,NA,NA,NA,NA,12,65,50,65,NA,NA,NA,NA,NA,NA,11,65,6.9,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.13,65,0.01,65,2,65,1.7,65,8.8,65,NA,NA,NA,NA
"12:20:00 29/10/1997",NA,NA,NA,NA,NA,NA,NA,NA,11,65,42,65,NA,NA,NA,NA,NA,NA,9.8,65,7.4,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.13,65,0.009,65,2,65,1.5,65,13,65,NA,NA,NA,NA
"12:25:00 06/01/1992",NA,NA,NA,NA,NA,NA,NA,NA,15,65,44,65,NA,NA,NA,NA,NA,NA,10,65,7.1,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.006,65,2,65,1.8,65,15.5,65,NA,NA,NA,NA
"12:30:00 01/08/1994",NA,NA,NA,NA,NA,NA,NA,NA,20,65,66,65,NA,NA,NA,NA,NA,NA,7.5,65,7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,1,65,1.7,65,11.4,65,NA,NA,NA,NA
"12:30:00 01/10/1991",NA,NA,NA,NA,NA,NA,NA,NA,10,65,66,65,NA,NA,NA,NA,NA,NA,11,65,6.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.007,65,2,65,2,65,10.5,65,NA,NA,NA,NA
"12:30:00 02/06/1997",NA,NA,NA,NA,NA,NA,NA,NA,15,65,57,65,NA,NA,NA,NA,NA,NA,12,65,7.4,65,0.004,65,0.34,65,NA,NA,NA,NA,NA,NA,0.1,65,0.007,65,2,65,3.2,65,6.5,65,NA,NA,NA,NA
"12:30:00 02/09/1991",NA,NA,NA,NA,NA,NA,NA,NA,15,65,64,65,NA,NA,NA,NA,NA,NA,10.3,65,6.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,2,65,1.5,65,8.5,65,NA,NA,NA,NA
"12:30:00 03/05/1993",NA,NA,NA,NA,NA,NA,NA,NA,15,65,53,65,NA,NA,NA,NA,NA,NA,10,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.07,65,0.006,65,1,65,1.1,65,14.5,65,NA,NA,NA,NA
"12:30:00 06/12/2000",NA,NA,NA,NA,NA,NA,NA,NA,12,65,53,65,NA,NA,NA,NA,NA,NA,9,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.17,65,0.02,65,10,65,1.4,65,16,65,NA,NA,NA,NA
"12:30:00 07/05/1997",NA,NA,NA,NA,NA,NA,NA,NA,13,65,60,65,NA,NA,NA,NA,NA,NA,10.4,65,7.2,65,0.003,65,0.39,65,NA,NA,NA,NA,NA,NA,0.09,65,0.01,65,4,65,1.4,65,14.5,65,NA,NA,NA,NA
"12:35:00 01/12/1991",NA,NA,NA,NA,NA,NA,NA,NA,10,65,69,65,NA,NA,NA,NA,NA,NA,9.4,65,7.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,1.3,65,16.5,65,NA,NA,NA,NA
"12:35:00 17/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,20,65,50,65,NA,NA,NA,NA,NA,NA,9.7,65,6.9,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.12,65,0.008,65,2,65,1.3,65,NA,NA,NA,NA,NA,NA
"12:35:00 25/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,14,65,45,65,NA,NA,NA,NA,NA,NA,8.9,65,6.9,65,0.003,65,0.07,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,1,65,5.4,65,20,65,NA,NA,NA,NA
"12:40:00 06/09/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,53,65,NA,NA,NA,NA,NA,NA,11.4,65,6.9,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.005,65,4,65,3.7,65,9.5,65,NA,NA,NA,NA
"12:45:00 01/11/1994",NA,NA,NA,NA,NA,NA,NA,NA,10,65,64,65,NA,NA,NA,NA,NA,NA,10.9,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.007,65,3,65,1.4,65,13,65,NA,NA,NA,NA
"12:45:00 02/05/1994",NA,NA,NA,NA,NA,NA,NA,NA,10,65,46,65,NA,NA,NA,NA,NA,NA,10.8,65,6,65,0.005,65,0.1,65,NA,NA,NA,NA,NA,NA,0.09,65,0.007,65,3,65,1.2,65,13.5,65,NA,NA,NA,NA
"12:45:00 02/09/1996",NA,NA,NA,NA,NA,NA,NA,NA,6,65,47,65,NA,NA,NA,NA,NA,NA,10.7,65,6.7,65,0.004,65,0.08,65,NA,NA,NA,NA,NA,NA,0.15,65,0.04,65,2,65,1.3,65,9.5,65,NA,NA,NA,NA
"12:45:00 02/10/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,65,65,NA,NA,NA,NA,NA,NA,11.2,65,NA,180,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,2,65,1.7,65,10,65,NA,NA,NA,NA
"12:45:00 07/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,18,65,49,65,NA,NA,NA,NA,NA,NA,10.4,65,6.9,65,0.003,65,0.17,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,2,65,1.4,65,13,65,NA,NA,NA,NA
"12:45:00 09/04/2001",NA,NA,NA,NA,NA,NA,NA,NA,10,65,58,65,NA,NA,NA,NA,NA,NA,11,65,7.4,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.13,65,0.007,65,4,65,3.2,65,16,65,NA,NA,NA,NA
"12:45:00 10/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,14,65,49,65,NA,NA,NA,NA,NA,NA,8.4,65,7.6,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.11,65,0.006,65,2,65,1.3,65,20.5,65,NA,NA,NA,NA
"12:45:00 15/10/2002",NA,NA,NA,NA,NA,NA,NA,NA,20,65,56,65,NA,NA,NA,NA,NA,NA,10.4,65,7.2,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.15,65,0.02,65,6,65,1.7,65,12.3,65,NA,NA,NA,NA
"13:00:00 02/05/1995",NA,NA,NA,NA,NA,NA,NA,NA,20,65,46,65,NA,NA,NA,NA,NA,NA,11,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,4,65,2.1,65,13,65,NA,NA,NA,NA
"13:00:00 02/08/1993",NA,NA,NA,NA,NA,NA,NA,NA,5,65,50,65,NA,NA,NA,NA,NA,NA,11.4,65,7.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.13,65,0.005,65,1,65,2.8,65,8.5,65,NA,NA,NA,NA
"13:00:00 04/01/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,52,65,NA,NA,NA,NA,NA,NA,9.4,65,7.1,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.09,65,0.005,65,3,65,1.4,65,15,65,NA,NA,NA,NA
"13:00:00 04/03/1991",NA,NA,NA,NA,NA,NA,NA,NA,5,65,55,65,NA,NA,NA,NA,NA,NA,9.8,65,6.7,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.07,65,0.005,65,1,65,1.2,65,18.5,65,NA,NA,NA,NA
"13:00:00 06/07/1992",NA,NA,NA,NA,NA,NA,NA,NA,10,65,54,65,NA,NA,NA,NA,NA,NA,9.6,65,6.7,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.12,65,0.005,65,4,65,1.4,65,9,65,NA,NA,NA,NA
"13:00:00 08/04/1991",NA,NA,NA,NA,NA,NA,NA,NA,5,65,55,65,NA,NA,NA,NA,NA,NA,9.6,65,6.6,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.07,65,0.005,65,2,65,1.4,65,16,65,NA,NA,NA,NA
"13:00:00 08/07/1998",NA,NA,NA,NA,NA,NA,NA,NA,15,65,83,65,NA,NA,NA,NA,NA,NA,11.6,65,7.3,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.14,65,0.009,65,4,65,1.2,65,8,65,NA,NA,NA,NA
"13:00:00 13/04/1994",NA,NA,NA,NA,NA,NA,NA,NA,10,65,59,65,NA,NA,NA,NA,NA,NA,10.2,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,4,65,1.4,65,15.4,65,NA,NA,NA,NA
"13:00:00 15/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,14,65,52,65,NA,NA,NA,NA,NA,NA,8.6,65,7.3,65,0.004,65,0.11,65,NA,NA,NA,NA,NA,NA,0.11,65,0.01,65,3,65,NA,NA,21.3,65,NA,NA,NA,NA
"13:00:00 18/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,12,65,63,65,NA,NA,NA,NA,NA,NA,11.4,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,2,65,1.1,65,8,65,NA,NA,NA,NA
"13:00:00 20/12/1999",NA,NA,NA,NA,NA,NA,NA,NA,14,65,52,65,NA,NA,NA,NA,NA,NA,9.1,65,7.2,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,2,65,1.5,65,18.5,65,NA,NA,NA,NA
"13:05:00 19/10/2006",NA,NA,NA,NA,NA,NA,NA,NA,10,65,NA,NA,NA,NA,NA,NA,NA,NA,10.1,65,6.5,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.22,65,0.008,65,3,65,3.4,65,15.1,65,NA,NA,NA,NA
"13:05:00 21/09/2006",NA,NA,NA,NA,NA,NA,NA,NA,25,65,45,65,NA,NA,NA,NA,NA,NA,10.2,65,6.5,65,0.003,65,0.05,65,NA,NA,NA,NA,NA,NA,0.14,65,0.005,65,2,65,1.6,65,11.8,65,NA,NA,NA,NA
"13:10:00 01/04/1996",NA,NA,NA,NA,NA,NA,NA,NA,15,65,50,65,NA,NA,NA,NA,NA,NA,10.2,65,6.9,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.09,65,0.009,65,3,65,2.7,65,15,65,NA,NA,NA,NA
"13:10:00 13/04/2006",NA,NA,NA,NA,NA,NA,NA,NA,14,65,46,65,NA,NA,NA,NA,NA,NA,9.7,65,7,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.09,65,0.005,65,1,65,1,65,15.5,65,NA,NA,NA,NA
"13:10:00 18/09/2007",NA,NA,NA,NA,NA,NA,NA,NA,35,65,53,65,NA,NA,NA,NA,NA,NA,11.2,65,6.7,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.18,65,0.01,65,2,65,6,65,9.5,65,NA,NA,NA,NA
"13:15:00 02/03/1992",NA,NA,NA,NA,NA,NA,NA,NA,10,65,54,65,NA,NA,NA,NA,NA,NA,8.3,65,6.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.08,65,0.008,65,1,65,0.8,65,17.5,65,NA,NA,NA,NA
"13:15:00 02/06/1992",NA,NA,NA,NA,NA,NA,NA,NA,10,65,49,65,NA,NA,NA,NA,NA,NA,10.2,65,7.2,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,8,65,2.8,65,11.5,65,NA,NA,NA,NA
