"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"15:45:00 11/12/2007",NA,NA,NA,NA,NA,NA,NA,NA,18,65,50,65,NA,NA,NA,NA,NA,NA,9.5,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.21,65,0.007,65,6,65,6.9,65,16.5,65,NA,NA,NA,NA
"15:45:00 14/12/2010",NA,NA,NA,NA,NA,NA,NA,NA,20,1,54,1,NA,NA,NA,NA,NA,NA,9.2,1,7.1,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.15,1,0.005,1,2,1,3.1,1,18.5,1,NA,NA,NA,NA
"15:45:00 16/01/2017",NA,NA,NA,NA,NA,NA,NA,NA,14,1,45,1,NA,NA,NA,NA,NA,NA,8.4,1,6.9,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.14,1,0.008,1,2,1,2.8,1,21.5,1,NA,NA,NA,NA
"15:45:00 19/02/2018",NA,NA,NA,NA,NA,NA,NA,NA,8,1,46,1,NA,NA,NA,NA,NA,NA,8,1,7.2,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.16,1,0.005,1,2,1,3.2,1,19,1,NA,NA,NA,NA
"15:50:00 20/03/2013",NA,NA,NA,NA,NA,NA,NA,NA,16,1,50,1,NA,NA,NA,NA,NA,NA,10.2,1,6.8,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,3.8,1,18.5,1,NA,NA,NA,NA
"15:50:00 20/07/2015",NA,NA,NA,NA,NA,NA,NA,NA,18,1,59,1,NA,NA,NA,NA,NA,NA,12.8,1,7.1,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.23,1,0.005,1,2,1,5.1,1,6.5,1,NA,NA,NA,NA
"15:55:00 19/03/2018",NA,NA,NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,NA,NA,9.2,1,7.2,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.16,1,0.005,1,2,1,2.7,1,18.5,1,NA,NA,NA,NA
"15:55:00 20/03/2017",NA,NA,NA,NA,NA,NA,NA,NA,16,1,47,1,NA,NA,NA,NA,NA,NA,8.8,1,6.8,1,0.004,1,0.13,1,NA,NA,NA,NA,NA,NA,0.15,1,0.007,1,4,1,2.6,1,20,1,NA,NA,NA,NA
"15:55:00 21/06/2017",NA,NA,NA,NA,NA,NA,NA,NA,12,1,46,1,NA,NA,NA,NA,NA,NA,11,1,6.6,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.18,1,0.006,1,2,1,2.7,1,10.5,1,NA,NA,NA,NA
"16:00:00 15/04/2019",NA,NA,NA,NA,NA,NA,NA,NA,10,1,49,1,NA,NA,NA,NA,NA,NA,9.34,1,7.33,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.14,1,0.013,1,8,1,2.8,1,16.8,1,NA,NA,NA,NA
