"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:05:00 14/05/1990",NA,NA,3.2,65,3,65,10,65,53,65,NA,NA,NA,NA,9.8,65,6.7,65,NA,NA,NA,NA,14,65,0.42,65,0.1,65,1.6,65,0.01,65,0.01,65,0.5,65,6.6,65,2.9,65,0.8,65,18,65,32,65,NA,NA,2,65,0.77,65,8,65,5.2,65,11,65,NA,NA
"13:05:00 19/10/1989",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,11.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,13,65,NA,NA
"13:10:00 03/10/2012",NA,NA,NA,NA,NA,NA,10,1,34,1,NA,NA,NA,NA,10.2,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,4,1,3.9,1,13.4,1,NA,NA
"13:10:00 05/11/2009",NA,NA,NA,NA,NA,NA,10,1,27.4,1,NA,NA,NA,NA,10.4,1,7,1,0.001,1,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,0.002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,1,1,5.1,1,20.4,1,NA,NA
"13:10:00 06/04/2010",NA,NA,NA,NA,NA,NA,15,1,52.1,1,NA,NA,NA,NA,9,1,7.5,1,0.001,1,NA,NA,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,24,1,26.3,1,17.9,1,NA,NA
"13:10:00 07/06/1988",NA,NA,NA,NA,NA,NA,NA,NA,30,65,NA,NA,NA,NA,11.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,9.5,65,NA,NA
"13:10:00 08/05/2013",NA,NA,NA,NA,NA,NA,8,1,59,1,NA,NA,NA,NA,10.8,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.1,1,11.4,1,NA,NA
"13:10:00 08/08/1985",NA,NA,NA,NA,NA,NA,NA,NA,36,65,NA,NA,NA,NA,11,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,8,65,NA,NA
"13:10:00 09/06/2009",NA,NA,NA,NA,NA,NA,14,65,78,65,NA,NA,NA,NA,10.9,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,14,65,18.5,65,9.5,65,NA,NA
"13:10:00 10/07/1986",NA,NA,NA,NA,NA,NA,NA,NA,32,65,NA,NA,NA,NA,12,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,65,6.5,65,NA,NA
