"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"14:20:00 03/06/1982",NA,NA,NA,NA,NA,NA,NA,NA,26,65,NA,NA,NA,NA,11.1,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,8,65,NA,NA
"14:20:00 05/09/1978",NA,NA,NA,NA,NA,NA,NA,NA,30,65,NA,NA,NA,NA,10.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,10.5,65,NA,NA
"14:20:00 06/08/2008",NA,NA,NA,NA,NA,NA,11,65,38,65,NA,NA,NA,NA,9.1,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,8.9,65,9.5,65,NA,NA
"14:20:00 08/09/2011",NA,NA,NA,NA,NA,NA,8,1,33,1,NA,NA,NA,NA,12.2,1,6.8,1,0.003,1,NA,NA,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,0.012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,4.5,1,11.1,1,NA,NA
"14:20:00 20/07/1978",NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,NA,NA,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,8,65,NA,NA
"14:25:00 03/01/1979",NA,NA,3.5,65,5,65,20,65,49,65,NA,NA,NA,NA,9,65,7.6,65,NA,NA,NA,NA,17,65,0.42,65,NA,NA,1.5,65,0.02,65,0.005,65,0.6,65,6.5,65,3.1,65,1,65,19,65,32,65,NA,NA,NA,NA,0.009,65,1,65,2.5,65,23.5,65,NA,NA
"14:25:00 04/06/2002",NA,NA,3.3,65,2,65,14,65,59,65,41,65,NA,NA,11.7,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.07,65,1.4,65,NA,NA,0.01,65,0.5,65,NA,NA,2.2,65,1,65,16,65,NA,NA,NA,NA,NA,NA,0.007,65,2,65,1.6,65,6.3,65,6.7,65
"14:25:00 20/09/1988",NA,NA,NA,NA,NA,NA,NA,NA,41,65,NA,NA,NA,NA,11.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,9.5,65,NA,NA
"14:30:00 02/05/1996",NA,NA,NA,NA,NA,NA,15,65,34,65,NA,NA,NA,NA,11.6,65,7,65,0.007,65,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,2.5,65,17,65,NA,NA
"14:30:00 02/07/2007",NA,NA,NA,NA,NA,NA,20,65,68,65,NA,NA,NA,NA,10.6,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,54,65,70.3,65,9.6,65,NA,NA
"14:30:00 04/05/1993",NA,NA,NA,NA,NA,NA,15,65,60,65,NA,NA,NA,NA,9.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,2,65,1.7,65,12.5,65,NA,NA
"14:30:00 05/02/1980",NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,8.8,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,24,65,NA,NA
"14:30:00 05/06/1984",NA,NA,NA,NA,NA,NA,NA,NA,39,65,NA,NA,NA,NA,11.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,10,65,NA,NA
"14:30:00 05/10/1982",NA,NA,2.5,65,1,65,10,65,33,65,NA,NA,NA,NA,9.8,65,7.2,65,NA,NA,NA,NA,12,65,0.06,65,0.2,65,1,65,0.01,65,0.004,65,0.4,65,5,65,2.3,65,2,65,14,65,23,65,NA,NA,1,65,0.01,65,6,65,2.1,65,14,65,NA,NA
"14:30:00 06/09/2012",NA,NA,NA,NA,NA,NA,10,1,25,1,NA,NA,NA,NA,11.7,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,10,1,8.3,1,12.4,1,NA,NA
"14:30:00 16/08/1983",NA,NA,2.5,65,2.8,65,10,65,27,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,9,65,0.07,65,0.15,65,0.9,65,0.01,65,0.003,65,0.5,65,4.8,65,2.2,65,2,65,12,65,23,65,NA,NA,1,65,0.03,65,2,65,1,65,10,65,NA,NA
"14:35:00 02/05/1979",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,10.9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,15,65,NA,NA
"14:40:00 01/09/1988",NA,NA,NA,NA,NA,NA,NA,NA,36,65,NA,NA,NA,NA,11.6,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,10,65,NA,NA
"14:40:00 03/12/1981",NA,NA,NA,NA,NA,NA,NA,NA,46,65,NA,NA,NA,NA,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,21,65,NA,NA
"14:40:00 05/09/2013",NA,NA,NA,NA,NA,NA,8,1,29,1,NA,NA,NA,NA,10.4,1,6.7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,3.6,1,15.3,1,NA,NA
"14:40:00 10/04/2007",NA,NA,NA,NA,NA,NA,NA,NA,79,65,NA,NA,NA,NA,7.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.8,65,18.4,65,NA,NA
"14:40:00 15/09/2010",NA,NA,NA,NA,NA,NA,14,1,32,1,NA,NA,NA,NA,11.1,1,7,1,0.005,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,6,1,8.8,1,10.5,1,NA,NA
"14:40:00 21/04/1977",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,12.2,65,4.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,15,65,NA,NA
"14:45:00 02/05/2011",NA,NA,NA,NA,NA,NA,10,1,43,1,NA,NA,NA,NA,10.3,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,3.6,1,13.2,1,NA,NA
"14:45:00 02/07/1991",NA,NA,NA,NA,NA,NA,20,65,30,65,NA,NA,NA,NA,9.2,65,6.8,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,1.5,65,8,65,NA,NA
"14:45:00 04/09/1984",NA,NA,NA,NA,NA,NA,NA,NA,38,65,NA,NA,NA,NA,10.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,9,65,NA,NA
"14:45:00 10/04/2007",NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,0.44,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,26,65,NA,NA,NA,NA,NA,NA
"14:45:00 10/10/1983",NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,11.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,12,65,NA,NA
"14:45:00 15/07/2010",NA,NA,NA,NA,NA,NA,25,1,27,1,NA,NA,NA,NA,12,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,43,1,34.9,1,8.2,1,NA,NA
"14:50:00 22/04/1985",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,15,65,NA,NA
"14:55:00 05/07/1984",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,10,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,7,65,NA,NA
"15:00:00 02/08/1979",NA,NA,NA,NA,NA,NA,NA,NA,40,65,NA,NA,NA,NA,11.1,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,8,65,NA,NA
"15:00:00 04/09/2007",NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,NA,NA,11.5,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,10.9,65,NA,NA
"15:00:00 04/10/1978",NA,NA,2.3,65,3.1,65,20,65,32,65,NA,NA,NA,NA,10.5,65,7.1,65,NA,NA,0.01,65,15,65,0.11,65,0.35,65,1.3,65,0.02,65,0.003,65,0.4,65,6.5,65,2.8,65,2,65,13,65,27,65,NA,NA,2,65,0.01,65,1,65,6,65,13,65,NA,NA
"15:00:00 08/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,1,NA,NA,NA,NA,NA,NA,7.32,1
"15:00:00 08/08/2011",NA,NA,NA,NA,NA,NA,12,1,30,1,NA,NA,NA,NA,11.9,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,0.019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,4,1,8.9,1,NA,NA
"15:00:00 09/04/1990",NA,NA,NA,NA,NA,NA,NA,NA,100,65,NA,NA,NA,NA,8.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,21,65,NA,NA
"15:00:00 10/05/1983",NA,NA,5.1,65,7.4,65,20,65,33,65,NA,NA,NA,NA,10.6,65,7.6,65,NA,NA,NA,NA,19,65,0.11,65,NA,NA,1.7,65,0.01,65,0.01,65,0.8,65,4.2,65,7,65,7,65,15,65,30,65,NA,NA,3,65,0.005,65,2,65,NA,180,13,65,NA,NA
"15:00:00 17/07/2012",NA,NA,NA,NA,NA,NA,18,1,28,1,NA,NA,NA,NA,11.7,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,0.038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,10.5,1,10,1,NA,NA
"15:00:00 24/03/1977",NA,NA,NA,NA,NA,NA,NA,NA,100,65,NA,NA,NA,NA,9.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,19,65,NA,NA
"15:05:00 04/06/1985",NA,NA,NA,NA,NA,NA,NA,NA,37,65,NA,NA,NA,NA,11.3,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,8.5,65,NA,NA
"15:05:00 07/08/2013",NA,NA,NA,NA,NA,NA,25,1,29,1,NA,NA,NA,NA,11.1,1,6.7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,1,18,1,30.6,1,9.2,1,NA,NA
"15:10:00 02/12/1976",NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,10.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,17,65,NA,NA
"15:10:00 14/06/2011",NA,NA,NA,NA,NA,NA,10,1,33,1,NA,NA,NA,NA,10.2,1,6.8,1,0.003,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,4.6,1,9.8,1,NA,NA
"15:15:00 18/07/1983",NA,NA,NA,NA,NA,NA,NA,NA,32,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,6,65,NA,NA
"15:20:00 03/05/1978",NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,NA,NA,10.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,12.5,65,NA,NA
"15:20:00 07/09/1977",NA,NA,NA,NA,NA,NA,NA,NA,27,65,NA,NA,NA,NA,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,8,65,NA,NA
"15:20:00 09/03/1983",NA,NA,NA,NA,NA,NA,NA,NA,140,65,NA,NA,NA,NA,9.2,65,8.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,24.5,65,NA,NA
"15:20:00 18/08/2010",NA,NA,NA,NA,NA,NA,10,1,25,1,NA,NA,NA,NA,11,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,0.044,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,4,1,6.7,1,7.3,1,NA,NA
"15:20:00 19/06/2013",NA,NA,NA,NA,NA,NA,56,1,44,1,NA,NA,NA,NA,12.3,1,7.2,1,0.003,1,NA,NA,NA,NA,NA,NA,0.48,1,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,230,1,148,1,9.5,1,NA,NA
"15:20:00 25/10/2010",NA,NA,NA,NA,NA,NA,14,1,34,1,NA,NA,NA,NA,9.3,1,6.7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,29,1,5.9,1,18,1,NA,NA
"15:30:00 04/09/2007",NA,NA,NA,NA,NA,NA,14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,3,65,NA,NA,NA,NA,NA,NA
"15:35:00 06/10/1977",NA,NA,NA,NA,NA,NA,NA,NA,29,65,NA,NA,NA,NA,9.9,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,12.5,65,NA,NA
"15:35:00 24/03/1976",NA,NA,NA,NA,NA,NA,NA,NA,100,65,NA,NA,NA,NA,NA,180,5.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,19,65,NA,NA
"15:45:00 01/06/1983",NA,NA,NA,NA,NA,NA,NA,NA,31,65,NA,NA,NA,NA,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10,65,NA,NA
"15:45:00 22/10/2007",NA,NA,NA,NA,NA,NA,13,65,52,65,NA,NA,NA,NA,8.6,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,2,65,2.7,65,19.9,65,NA,NA
"15:55:00 06/08/1990",NA,NA,NA,NA,NA,NA,40,65,40,65,NA,NA,NA,NA,11.8,65,6.8,65,0.006,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,18,65,8,65,NA,NA
"16:10:00 09/11/2007",NA,NA,NA,NA,NA,NA,18,65,52,65,NA,NA,NA,NA,12.8,65,6.8,65,0.003,65,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,17.8,65,15.3,65,NA,NA
"16:10:00 19/06/1978",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,10.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,65,10.5,65,NA,NA
"16:20:00 15/08/2012",NA,NA,NA,NA,NA,NA,16,1,34,1,NA,NA,NA,NA,11.8,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,0.019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,7.3,1,8.6,1,NA,NA
