"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"09:00:00 21/04/1994",NA,NA,NA,NA,NA,NA,25,65,66,65,NA,NA,NA,NA,9.8,65,7.2,65,0.004,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,5.3,65,15.5,65,NA,NA
"09:00:00 21/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,0.021,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:00:00 23/07/1997",NA,NA,NA,NA,NA,NA,43,65,71,65,NA,NA,NA,NA,11.6,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,8,65,15,65,9,65,NA,NA
"09:00:00 29/07/1998",NA,NA,NA,NA,NA,NA,43,65,54,65,NA,NA,NA,NA,11.2,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,8,65,12,65,7.5,65,NA,NA
"09:00:00 30/05/1984",NA,NA,NA,NA,NA,NA,NA,NA,69,65,NA,NA,NA,NA,10.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,11,65,NA,NA
"09:01:00 30/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1,NA,NA,0.032,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:02:00 06/09/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,0.052,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:05:00 14/07/1993",NA,NA,NA,NA,NA,NA,15,65,29,65,NA,NA,NA,NA,11.6,65,7.3,65,0.004,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,6.2,65,8.5,65,NA,NA
"09:05:00 21/07/2005",NA,NA,NA,NA,NA,NA,25,65,52,65,NA,NA,NA,NA,11.9,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,8.5,65,NA,NA,NA,NA
"09:07:00 23/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA,0.021,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:10:00 08/05/1991",NA,NA,NA,NA,NA,NA,20,65,88,65,NA,NA,NA,NA,10.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.009,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,13,65,13,65,NA,NA
"09:10:00 28/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1,NA,NA,0.024,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:15:00 02/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,7.31,1
"09:15:00 04/09/1991",NA,NA,NA,NA,NA,NA,35,65,51,65,NA,NA,NA,NA,9.6,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,8.5,65,9,65,NA,NA
"09:15:00 08/10/1991",NA,NA,NA,NA,NA,NA,30,65,45,65,NA,NA,NA,NA,11,65,6.7,65,0.07,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,5,65,7.2,65,13.5,65,NA,NA
"09:15:00 15/08/1984",NA,NA,3.1,65,9.1,65,40,65,67,65,NA,NA,NA,NA,9,65,6.9,65,NA,NA,NA,NA,17,65,1.1,65,0.3,65,2.2,65,0.02,65,NA,NA,0.1,65,3.4,65,2.4,65,5.4,65,2,65,18,65,57,65,NA,NA,NA,NA,0.06,65,6,65,19,65,9.5,65,NA,NA
"09:20:00 09/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,0.014,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:26:00 07/07/2010",NA,NA,NA,NA,NA,NA,10,1,52,1,NA,NA,NA,NA,10.6,1,7.5,1,0.004,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,5,1,7.4,1,9.2,1,NA,NA
"09:30:00 03/05/1976",NA,NA,NA,NA,NA,NA,NA,NA,77,65,NA,NA,NA,NA,NA,180,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,13,65,NA,NA
"09:30:00 06/04/2009",NA,NA,NA,NA,NA,NA,12,65,86,65,NA,NA,NA,NA,8.2,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,20.3,65,18.1,65,NA,NA
"09:30:00 06/08/1991",NA,NA,NA,NA,NA,NA,40,65,67,65,NA,NA,NA,NA,10.6,65,6.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,14,65,9,65,NA,NA
"09:30:00 12/12/1994",NA,NA,NA,NA,NA,NA,15,65,45,65,NA,NA,NA,NA,9.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,4,65,3,65,18.5,65,NA,NA
"09:30:00 15/11/2001",NA,NA,NA,NA,NA,NA,25,65,42,65,NA,NA,NA,NA,9,65,7.2,65,0.007,65,NA,NA,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,4,65,7.2,65,15.8,65,NA,NA
"09:30:00 26/02/1996",NA,NA,NA,NA,NA,NA,48,65,59,65,NA,NA,NA,NA,9.2,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,8.2,65,19.5,65,NA,NA
"09:30:00 28/09/1993",NA,NA,NA,NA,NA,NA,40,65,51,65,NA,NA,NA,NA,11.2,65,8.8,65,0.006,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,23,65,28,65,12,65,NA,NA
