"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"12:00:00 04/11/2009",20,1,190.2,1,NA,NA,NA,NA,6.7,1,7.2,1,0.003,1,0.19,1,0.011,1,NA,NA,NA,NA,0.02,1,18,1,17.7,1,21.1,1,NA,NA
"12:00:00 07/04/1997",NA,NA,NA,NA,180,1,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,7.49,1
"12:00:00 14/09/1998",NA,NA,NA,NA,89,1,9.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,1,0.02,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:00:00 18/10/2018",10,1,384,1,NA,NA,NA,NA,8.1,1,7.5,1,0.003,1,0.3,1,0.003,1,NA,NA,NA,NA,0.023,1,9,1,8.8,1,19.7,1,NA,NA
"12:00:00 23/12/2014",50,1,183,1,NA,NA,NA,NA,8.4,1,7.3,1,0.006,1,0.68,1,0.025,1,NA,NA,NA,NA,0.036,1,4,1,8.6,1,24.3,1,NA,NA
"12:00:00 31/07/2014",16,1,245,1,NA,NA,NA,NA,10.6,1,7.3,1,0.003,1,0.33,1,0.19,1,NA,NA,NA,NA,0.031,1,14,1,13.5,1,10.1,1,NA,NA
"12:04:00 24/02/2016",20,1,203,1,NA,NA,NA,NA,6.4,1,7.2,1,0.003,1,0.38,1,0.005,1,NA,NA,NA,NA,0.014,1,9,1,10.9,1,25.6,1,NA,NA
"12:05:00 07/11/2012",20,1,244,1,NA,NA,NA,NA,8.5,1,7.4,1,0.003,1,0.32,1,0.062,1,NA,NA,NA,NA,0.025,1,12,1,16.2,1,20.2,1,NA,NA
"12:05:00 15/01/2008",25,65,356,65,NA,NA,NA,NA,6,65,7.4,65,0.003,65,0.36,65,0.01,65,NA,NA,NA,NA,0.05,65,9,65,10.9,65,27.5,65,NA,NA
"12:05:00 25/11/2009",20,1,255.6,1,NA,NA,NA,NA,5.2,1,6.9,1,0.001,1,0.21,1,0.002,1,NA,NA,NA,NA,0.005,1,12,1,17.6,1,25.5,1,NA,NA
"12:05:00 26/10/2011",25,1,204,1,NA,NA,NA,NA,8.2,1,7.3,1,0.011,1,0.3,1,0.065,1,NA,NA,NA,NA,0.03,1,10,1,14.6,1,18.9,1,NA,NA
"12:05:00 27/01/2009",28,65,266,65,NA,NA,NA,NA,8.1,65,7.2,65,0.003,65,0.52,65,0.004,65,NA,NA,NA,NA,0.1,65,11,65,17.6,65,27.4,65,NA,NA
"12:10:00 17/07/2007",45,65,188,65,NA,NA,NA,NA,11.1,65,6.9,65,0.008,65,0.53,65,0.61,65,NA,NA,NA,NA,0.02,65,10,65,18,65,8.9,65,NA,NA
"12:10:00 19/02/2008",45,65,140,65,NA,NA,NA,NA,6.8,65,6.8,65,0.003,65,0.27,65,0.07,65,NA,NA,NA,NA,0.03,65,13,65,17.7,65,23.7,65,NA,NA
"12:10:00 21/11/2011",80,1,166,1,NA,NA,NA,NA,7.2,1,7,1,0.013,1,0.66,1,0.11,1,NA,NA,NA,NA,0.069,1,19,1,25.9,1,20.6,1,NA,NA
"12:10:00 24/11/2010",22,1,138,1,NA,NA,NA,NA,8.2,1,7.1,1,0.005,1,0.35,1,0.003,1,NA,NA,NA,NA,0.043,1,8,1,10.4,1,25.3,1,NA,NA
"12:13:00 18/05/2017",40,1,243,1,NA,NA,NA,NA,10.4,1,7.32,1,0.017,1,0.62,1,0.17,1,NA,NA,NA,NA,0.081,1,11,1,15.6,1,13.1,1,NA,NA
"12:15:00 02/02/2011",20,1,279,1,NA,NA,NA,NA,7.3,1,7.3,1,0.003,1,0.44,1,0.007,1,NA,NA,NA,NA,0.035,1,6,1,8.8,1,27.1,1,NA,NA
