"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:23:00 07/05/2008",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.001,65,35,65,357,65,NA,NA,0.002,65,9.9,65,7.1,65,0.003,65,NA,NA,NA,NA,0.5,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,41,65,39.6,65,13,65,0.005,65,NA,NA
"14:25:00 29/11/2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,330,65,NA,NA,NA,NA,8.9,65,7.1,65,0.004,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,50,65,23,65,21.3,65,NA,NA,NA,NA
"14:30:00 01/08/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,390,65,NA,NA,NA,NA,10.5,65,7.4,65,0.003,65,NA,NA,NA,NA,0.95,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,26,65,17,65,10.3,65,NA,NA,NA,NA
"14:30:00 02/05/2012",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.002,1,60,1,300,1,NA,NA,0.003,1,8.7,1,6.9,1,0.007,1,NA,NA,NA,NA,0.69,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.003,1,0.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,51,1,57,1,13.5,1,0.022,1,NA,NA
"14:30:00 02/06/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,360,65,NA,NA,NA,NA,10.4,65,6.8,65,0.01,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,52,65,8.8,65,11,65,NA,NA,NA,NA
"14:30:00 04/08/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,410,65,NA,NA,NA,NA,11.4,65,7.5,65,0.01,65,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,24,65,27,65,9,65,NA,NA,NA,NA
"14:30:00 05/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,340,65,NA,NA,NA,NA,9.4,65,7.3,65,0.01,65,NA,NA,NA,NA,0.69,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,44,65,18,65,18.5,65,NA,NA,NA,NA
"14:30:00 06/04/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,340,65,NA,NA,NA,NA,8.8,65,7,65,0.003,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,44,65,28,65,19.5,65,NA,NA,NA,NA
"14:30:00 07/07/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,300,65,NA,NA,NA,NA,11,65,6.9,65,0.009,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,22,65,26,65,11,65,NA,NA,NA,NA
"14:30:00 07/09/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,350,65,NA,NA,NA,NA,11.4,65,6.7,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,30,65,6,65,10.5,65,NA,NA,NA,NA
