"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:15:00 13/07/1999",9.5,65,89,65,37,65,450,65,440,65,11.2,65,7.4,65,0.02,65,NA,NA,NA,NA,NA,NA,0.39,65,9.2,65,NA,NA,NA,NA,0.56,65,3.3,65,NA,NA,57,65,26,65,39,65,NA,NA,NA,NA,0.06,65,18,65,15,65,10,65,7.1,65
"13:15:00 13/10/1977",NA,NA,NA,NA,NA,NA,240,65,NA,NA,7.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,65,19,65,NA,NA
"13:15:00 15/02/1983",12,65,51,65,90,65,450,65,NA,NA,8.1,65,7.2,65,NA,NA,NA,NA,88,65,0.63,65,0.5,65,14,65,0.03,65,NA,NA,0.13,65,2.4,65,4.8,65,49,65,100,65,28,65,280,65,8,65,0.03,65,40,65,17,65,23.5,65,NA,NA
"13:15:00 16/09/1982",NA,NA,NA,NA,NA,NA,260,65,NA,NA,10.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,16,65,NA,NA
"13:20:00 08/12/1981",NA,NA,NA,NA,NA,NA,330,65,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,20.5,65,NA,NA
"13:22:00 14/09/1994",NA,NA,NA,NA,25,65,170,65,NA,NA,11,65,6.8,65,0.01,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,13,65,17,65,13.5,65,NA,NA
"13:22:00 19/01/1994",NA,NA,NA,NA,50,65,150,65,NA,NA,8.2,65,6.8,65,0.03,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,26,65,26,65,21,65,NA,NA
"13:24:00 13/07/1994",NA,NA,NA,NA,20,65,180,65,NA,NA,10,65,6.9,65,0.01,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.44,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,14,65,15,65,10.5,65,NA,NA
"13:24:00 21/06/1993",NA,NA,NA,NA,35,65,310,65,NA,NA,9.8,65,6.7,65,0.03,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.71,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,23,65,27,65,10.5,65,NA,NA
"13:28:00 14/07/1993",NA,NA,NA,NA,60,65,360,65,NA,NA,12.1,65,6.6,65,0.05,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,0.93,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,29,65,40,65,10.5,65,NA,NA
"13:30:00 06/03/2002",5.4,65,40,65,40,65,220,65,210,65,8.7,65,7.1,65,0.005,65,NA,NA,NA,NA,NA,NA,0.36,65,5.1,65,NA,NA,NA,NA,0.08,65,2.1,65,NA,NA,24,65,12,65,23,65,NA,NA,NA,NA,0.04,65,12,65,12,65,22,65,6.8,65
"13:30:00 07/07/1983",NA,NA,NA,NA,NA,NA,230,65,NA,NA,12.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,65,9,65,NA,NA
"13:30:00 09/06/1981",NA,NA,NA,NA,NA,NA,370,65,NA,NA,9.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,14,65,NA,NA
"13:30:00 13/04/1984",NA,NA,NA,NA,NA,NA,530,65,NA,NA,8.8,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,19,65,NA,NA
"13:33:00 15/06/1994",NA,NA,NA,NA,15,65,160,65,NA,NA,10,65,7.2,65,0.03,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,12,65,14,65,11.5,65,NA,NA
