"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:21:00 17/04/1991",45,65,64,65,10.6,65,6.1,65,0.12,65,0.4,65,0.31,65,0.17,65,10,65,5.2,65,10.5,65
"08:22:00 05/05/1993",55,65,52,65,14,65,6.4,65,0.12,65,0.4,65,0.32,65,0.15,65,25,65,12,65,10,65
"08:22:00 08/04/1992",80,65,57,65,11.5,65,7.3,65,0.09,65,0.5,65,0.24,65,0.13,65,32,65,12,65,12,65
"08:23:00 04/08/1993",100,65,49,65,11.4,65,6.5,65,0.01,65,0.9,65,0.45,65,0.06,65,38,65,20,65,6,65
"08:24:00 05/12/1990",55,65,61,65,10.2,65,6.7,65,0.009,65,0.4,65,0.35,65,0.07,65,15,65,7,65,16.5,65
"08:24:00 12/06/1991",75,65,67,65,10.1,65,6.6,65,0.04,65,0.7,65,0.31,65,0.11,65,40,65,20,65,11,65
"08:25:00 07/03/1990",NA,NA,60,65,6.8,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,14,65
"08:26:00 14/07/1992",60,65,48,65,10.2,65,6.7,65,0.16,65,0.5,65,0.43,65,0.23,65,18,65,12,65,7.5,65
"08:28:00 14/12/1992",50,65,61,65,8.2,65,7.1,65,0.02,65,0.6,65,0.35,65,0.03,65,20,65,6.3,65,13.5,65
"08:30:00 06/09/1994",40,65,41,65,11.8,65,5.8,65,0.009,65,0.4,65,0.42,65,0.11,65,17,65,13,65,10,65
"08:30:00 08/03/1988",NA,NA,61,65,8.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,14,65
"08:31:00 15/10/1991",45,65,70,65,10.6,65,6.3,65,0.06,65,0.5,65,0.46,65,0.23,65,18,65,7.5,65,12,65
"08:35:00 07/10/1992",55,65,56,65,11.4,65,6.4,65,0.18,65,0.4,65,0.46,65,0.23,65,22,65,14,65,10,65
"08:37:00 10/08/1989",NA,NA,60,65,10.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,65,8.5,65
"08:38:00 06/03/1991",40,65,61,65,8.8,65,6.9,65,0.03,65,0.3,65,0.31,65,0.07,65,10,65,5.4,65,13.5,65
"08:40:00 04/10/1989",NA,NA,62,65,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,9,65
"08:40:00 07/02/1994",50,65,64,65,9.8,65,6.8,65,0.07,65,0.4,65,0.33,65,0.11,65,23,65,6,65,16.5,65
"08:40:00 15/05/1991",45,65,62,65,10.7,65,7.1,65,0.005,65,0.4,65,0.33,65,0.04,65,11,65,5.4,65,9.5,65
"08:44:00 09/09/1992",50,65,63,65,10,65,6.4,65,0.16,65,0.4,65,0.43,65,0.17,65,16,65,6.6,65,7,65
"08:45:00 04/01/1984",NA,NA,90,65,9.3,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,13.8,65
"08:45:00 11/04/1990",NA,NA,65,65,8.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,14,65
"08:45:00 16/05/1990",NA,NA,68,65,9.9,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,8,65
"08:50:00 07/06/1990",NA,NA,71,65,11,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,7,65
"09:00:00 04/02/1982",NA,NA,56,65,9.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,15.2,65
"09:00:00 07/01/1982",NA,NA,58,65,8.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,15.2,65
"09:00:00 17/08/1988",NA,NA,61,65,10.4,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,65,9,65
"09:02:00 04/07/1990",NA,NA,52,65,11,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,7,65
"09:10:00 05/09/1990",80,65,52,65,11,65,NA,180,0.003,65,0.5,65,0.51,65,0.02,65,20,65,12,65,8.5,65
"09:10:00 07/12/1984",NA,NA,250,65,9.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,12.5,65
"09:11:00 07/06/1989",NA,NA,72,65,8.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,8,65
"09:13:00 07/09/1989",NA,NA,60,65,10.5,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,7.5,65
"09:15:00 01/03/1985",NA,NA,290,65,8.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,19,65
"09:20:00 07/07/1988",NA,NA,66,65,10.8,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,65,8.5,65
"09:20:00 20/08/1982",NA,NA,79,65,11,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,3.5,65
"09:25:00 25/11/1982",NA,NA,79,65,9.1,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,16.8,65
"09:38:00 10/04/1995",100,65,65,65,10.3,65,7.6,65,0.01,65,0.6,65,0.47,65,0.06,65,37,65,8.5,65,9.5,65
"09:40:00 03/08/1995",78,65,40,65,11.2,65,6.7,65,0.003,65,0.4,65,0.49,65,0.03,65,15,65,11,65,6.5,65
"09:40:00 03/12/1980",NA,NA,65,65,9.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,65,13,65
"09:40:00 09/06/1981",NA,NA,62,65,11.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,5,65
"09:42:00 16/03/1993",45,65,58,65,10.3,65,6,65,0.15,65,0.4,65,0.32,65,0.17,65,17,65,6.7,65,14,65
"09:43:00 04/08/1992",40,65,54,65,5.8,65,6.4,65,0.19,65,0.4,65,0.4,65,0.29,65,13,65,10,65,7,65
"09:43:00 18/01/1980",NA,NA,67,65,9.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,15,65
"09:45:00 13/11/1984",NA,NA,76,65,8.8,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,12.5,65
"09:50:00 05/02/1985",NA,NA,74,65,9.1,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,14,65
"09:50:00 15/09/1980",NA,NA,70,65,10.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,8,65
"09:50:00 19/11/1997",55,65,69,65,12.8,65,7.2,65,0.01,65,0.4,65,0.31,65,0.04,65,14,65,5.8,65,12.4,65
"09:50:00 23/01/1997",70,65,70,65,9.8,65,6.6,65,0.005,65,0.33,65,0.3,65,0.06,65,34,65,16,65,16.1,65
"09:55:00 16/10/1984",NA,NA,84,65,10.2,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,9.8,65
"09:55:00 17/09/1982",NA,NA,83,65,10.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,7.7,65
"09:59:00 13/02/1980",NA,NA,66,65,9.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,15.5,65
"10:00:00 04/01/1995",45,65,57,65,8.2,65,6.6,65,0.02,65,0.3,65,0.32,65,0.05,65,14,65,5.4,65,16.5,65
"10:00:00 06/10/1987",NA,NA,62,65,10.8,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,65,9.5,65
"10:00:00 10/02/1987",NA,NA,58,65,9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,14.5,65
"10:05:00 01/03/1984",NA,NA,72,65,8.5,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,13,65
"10:05:00 05/09/1984",NA,NA,74,65,11.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,6,65
"10:09:00 21/04/1993",40,65,58,65,10.6,65,5.9,65,0.11,65,0.3,65,0.34,65,0.14,65,11,65,9,65,12.5,65
"10:10:00 02/05/1984",NA,NA,66,65,9,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,10.5,65
"10:10:00 04/05/1982",NA,NA,64,65,10.9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,10,65
"10:10:00 30/09/1983",NA,NA,67,65,10.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,8,65
"10:15:00 04/11/1981",NA,NA,60,65,9.9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,11,65
"10:15:00 06/01/1984",NA,NA,76,65,8.7,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,14.6,65
"10:17:00 06/06/1995",50,65,70,65,13.1,65,5.4,65,0.01,65,0.4,65,0.4,65,0.03,65,14,65,5.6,65,7.5,65
"10:20:00 15/04/1981",NA,NA,76,65,9.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,11,65
"10:20:00 16/02/1977",NA,NA,130,65,9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,12.5,65
"10:25:00 01/09/1981",NA,NA,55,65,11.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,8.5,65
"10:25:00 02/08/1984",NA,NA,73,65,10.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,65,6.5,65
"10:25:00 03/02/1981",NA,NA,68,65,11.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,16,65
"10:25:00 05/06/1984",NA,NA,75,65,8.9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,7.2,65
"10:30:00 01/11/1995",440,65,74,65,10,65,6.2,65,0.003,65,0.4,65,0.49,65,0.04,65,17,65,5.5,65,10.5,65
"10:30:00 03/08/1981",NA,NA,67,65,11.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,8,65
