"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"12:35:00 30/11/1982",NA,NA,NA,NA,NA,NA,57,65,8.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,19.5,65
"12:40:00 03/08/1981",NA,NA,NA,NA,NA,NA,52,65,11.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,8,65
"12:45:00 04/02/1986",4.1,65,8,65,5,65,86,65,9.8,65,6.8,65,25,65,0.37,65,0.35,65,3.3,65,0.02,65,0.02,65,1.2,65,3.3,65,6.1,65,11,65,20,65,62,65,2,65,0.05,65,3,65,1.1,65,19,65
"12:45:00 05/12/1989",NA,NA,NA,NA,NA,NA,69,65,8.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,19,65
"12:50:00 01/11/1979",NA,NA,NA,NA,NA,NA,49,65,10,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,14.5,65
"12:55:00 01/12/1980",NA,NA,NA,NA,NA,NA,49,65,9.9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,19,65
"13:00:00 01/06/1983",NA,NA,NA,NA,NA,NA,68,65,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9.5,65
"13:00:00 05/03/1990",NA,NA,NA,NA,NA,NA,94,65,8.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,20.5,65
"13:00:00 05/06/1985",NA,NA,NA,NA,NA,NA,110,65,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,8,65
"13:00:00 05/10/1981",2.5,65,6.5,65,50,65,56,65,10.8,65,6.8,65,16,65,1,65,0.3,65,1.9,65,0.02,65,0.1,65,0.8,65,7.2,65,5,65,4,65,12,65,50,65,5,65,0.01,65,9,65,17,65,11.5,65
