"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:00:00 23/01/2013",NA,NA,8,1,122,1,NA,NA,NA,NA,7.7,1,7.3,1,0.003,1,0.17,1,0.004,1,0.01,1,2,1,1.3,1,21.8,1,NA,NA
"10:00:00 24/05/2011",NA,NA,12,1,97,1,NA,NA,NA,NA,10.5,1,7.5,1,0.003,1,0.13,1,0.003,1,0.005,1,2,1,2.5,1,10.2,1,NA,NA
"10:00:00 24/07/2012",NA,NA,10,1,80,1,NA,NA,NA,NA,10.2,1,7.4,1,0.003,1,0.06,1,0.004,1,0.005,1,2,1,1.1,1,8,1,NA,NA
"10:00:00 25/07/1997",NA,NA,NA,NA,NA,NA,65,1,12.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,NA,NA,NA,NA,NA,NA,6.91,1
"10:00:00 25/08/2009",NA,NA,8,1,79.3,1,NA,NA,NA,NA,10.2,1,7,1,0.002,1,0.05,1,0.008,1,0.01,1,1,1,1.7,1,11.6,1,NA,NA
"10:00:00 27/04/2010",NA,NA,5,1,74.3,1,NA,NA,NA,NA,8.6,1,7.2,1,0.001,1,0.06,1,0.024,1,0.005,1,2,1,2.7,1,15.6,1,NA,NA
"10:00:00 27/06/2011",NA,NA,20,1,68,1,NA,NA,NA,NA,11.5,1,7.4,1,0.003,1,0.09,1,0.016,1,0.005,1,2,1,1.7,1,7.9,1,NA,NA
"10:05:00 09/01/1989",NA,NA,NA,NA,78,65,NA,NA,NA,NA,8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,24.5,65,NA,NA
"10:10:00 03/01/2008",NA,NA,20,65,94,65,NA,NA,NA,NA,7.6,65,7.2,65,0.003,65,0.09,65,0.01,65,0.008,65,2,65,1.3,65,23,65,NA,NA
"10:10:00 09/07/2013",NA,NA,12,1,69,1,NA,NA,NA,NA,11.8,1,7.4,1,0.003,1,0.09,1,0.037,1,0.008,1,2,1,1.9,1,5.9,1,NA,NA
