"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:45:00 05/07/1990",NA,NA,NA,NA,NA,NA,NA,NA,60,65,NA,NA,11.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,65,7.5,65,NA,NA
"10:45:00 14/09/1994",NA,NA,NA,NA,NA,NA,5,65,69,65,NA,NA,11,65,6.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.005,65,0.005,65,2,65,1.7,65,9,65,NA,NA
"10:55:00 01/06/1994",NA,NA,NA,NA,NA,NA,10,65,94,65,NA,NA,11.8,65,7.1,65,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.01,65,0.005,65,1,65,1.2,65,8.5,65,NA,NA
"11:00:00 01/04/1996",NA,NA,NA,NA,NA,NA,18,65,71,65,NA,NA,8.8,65,6.7,65,0.003,65,0.07,65,NA,NA,NA,NA,NA,NA,0.007,65,0.008,65,2,65,1.6,65,13,65,NA,NA
"11:00:00 02/05/1994",NA,NA,NA,NA,NA,NA,10,65,80,65,NA,NA,11,65,7.1,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.006,65,0.005,65,2,65,0.6,65,10,65,NA,NA
"11:00:00 02/05/1995",NA,NA,NA,NA,NA,NA,14,65,81,65,NA,NA,9.6,65,7.2,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.008,65,2,65,4,65,12.5,65,NA,NA
"11:00:00 02/08/1993",NA,NA,NA,NA,NA,NA,15,65,56,65,NA,NA,12.6,65,7.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.008,65,1,65,3.3,65,5,65,NA,NA
"11:00:00 02/09/1997",NA,NA,NA,NA,NA,NA,12,65,55,65,NA,NA,11.4,65,7.3,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.004,65,0.005,65,2,65,1.6,65,9.5,65,NA,NA
"11:00:00 02/10/1994",NA,NA,NA,NA,NA,NA,10,65,53,65,NA,NA,11.6,65,NA,180,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.04,65,0.009,65,1,65,2,65,9.5,65,NA,NA
"11:00:00 05/07/1994",NA,NA,NA,NA,NA,NA,5,65,210,65,NA,NA,11,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.07,65,0.008,65,1,65,3.8,65,8,65,NA,NA
"11:00:00 06/07/1992",NA,NA,NA,NA,NA,NA,25,65,56,65,NA,NA,10.8,65,6.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.005,65,4,65,3,65,7,65,NA,NA
"11:00:00 06/10/1993",NA,NA,NA,NA,NA,NA,50,65,58,65,NA,NA,10.6,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.04,65,0.02,65,12,65,17,65,10,65,NA,NA
"11:00:00 07/08/1990",NA,NA,NA,NA,NA,NA,40,65,51,65,NA,NA,11.2,65,6.5,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.05,65,0.02,65,12,65,20,65,8,65,NA,NA
"11:00:00 08/09/1992",NA,NA,NA,NA,NA,NA,15,65,45,65,NA,NA,11.4,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.008,65,2,65,3.6,65,7,65,NA,NA
"11:00:00 09/05/1990",NA,NA,NA,NA,NA,NA,NA,NA,72,65,NA,NA,9.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,9.5,65,NA,NA
"11:00:00 13/05/1996",NA,NA,NA,NA,NA,NA,22,65,81,65,NA,NA,13.5,65,6.8,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.02,65,0.007,65,7,65,11,65,9.5,65,NA,NA
"11:10:00 13/10/1998",NA,NA,NA,NA,NA,NA,25,65,70,65,NA,NA,10.4,65,6.9,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.008,65,0.007,65,5,65,1.3,65,9.5,65,NA,NA
"11:15:00 02/06/1997",NA,NA,NA,NA,NA,NA,15,65,79,65,NA,NA,11.8,65,7.5,65,0.02,65,0.29,65,NA,NA,NA,NA,NA,NA,0.008,65,0.02,65,2,65,2.5,65,6,65,NA,NA
"11:15:00 04/08/1998",NA,NA,NA,NA,NA,NA,19,65,53,65,NA,NA,11,65,6.5,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.004,65,0.01,65,2,65,1,65,8,65,NA,NA
"11:15:00 10/10/1995",NA,NA,NA,NA,NA,NA,15,65,61,65,NA,NA,10.7,65,6.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.02,65,0.01,65,3,65,4.4,65,10.5,65,NA,NA
"11:20:00 02/03/1992",NA,NA,NA,NA,NA,NA,15,65,84,65,NA,NA,9.2,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.04,65,0.009,65,2,65,1,65,19,65,NA,NA
"11:20:00 02/06/1998",NA,NA,NA,NA,NA,NA,9,65,88,65,NA,NA,10.2,65,6.5,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.02,65,0.006,65,2,65,0.6,65,10.5,65,NA,NA
"11:20:00 13/04/1994",NA,NA,NA,NA,NA,NA,15,65,79,65,NA,NA,11,65,7.1,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.006,65,0.005,65,2,65,1.6,65,11,65,NA,NA
"11:30:00 01/07/1991",NA,NA,NA,NA,NA,NA,35,65,57,65,NA,NA,9.6,65,6.4,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.06,65,0.01,65,3,65,4.8,65,9,65,NA,NA
"11:30:00 04/06/1991",NA,NA,NA,NA,NA,NA,NA,NA,83,65,NA,NA,12,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,9.5,65,NA,NA
"11:30:00 04/08/1992",NA,NA,NA,NA,NA,NA,10,65,200,65,NA,NA,10.2,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.003,65,0.005,65,1,65,2.9,65,5.5,65,NA,NA
"11:30:00 06/06/1995",NA,NA,NA,NA,NA,NA,15,65,55,65,NA,NA,11.7,65,7.6,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.005,65,0.005,65,2,65,1.8,65,5.5,65,NA,NA
