"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"11:10:00 28/07/1997",NA,NA,NA,NA,289,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,1,NA,NA,NA,NA,NA,NA,7.4,1
"11:12:00 06/04/1999",NA,NA,NA,NA,143,1,7.35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:15:00 03/11/1998",NA,NA,NA,NA,138,1,8.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,1,0.21,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:16:00 21/07/1998",NA,NA,NA,NA,419,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,1,0.47,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:18:00 19/05/1998",NA,NA,NA,NA,188,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:20:00 11/03/1997",NA,NA,NA,NA,140,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,6.85,1
"11:20:00 11/11/1997",NA,NA,NA,NA,132,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261,1,NA,NA,NA,NA,NA,NA,7.4,1
"11:20:00 15/06/1999",NA,NA,NA,NA,201,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,1,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:20:00 16/02/2011",50,1,139,1,NA,NA,NA,NA,6.3,1,6.8,1,0.072,1,0.61,1,0.031,1,NA,NA,0.2,1,12,1,23.7,1,22.6,1,NA,NA
"11:20:00 27/04/1999",NA,NA,NA,NA,131,1,7.97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA
