"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:50:00 13/12/2007",NA,NA,NA,NA,NA,NA,50,65,77,65,NA,NA,NA,NA,9.8,65,6.8,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,4,65,6.1,65,12.6,65,NA,NA
"07:51:00 11/12/1991",NA,NA,NA,NA,NA,NA,NA,NA,47,65,NA,NA,NA,NA,10.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,11,65,NA,NA
"07:53:00 09/01/1991",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,10.9,65,5.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,13.5,65,NA,NA
"07:57:00 17/01/2008",NA,NA,NA,NA,NA,NA,50,65,63,65,NA,NA,NA,NA,9.4,65,6.9,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,11,65,2.7,65,13.6,65,NA,NA
"08:00:00 10/11/2008",NA,NA,NA,NA,NA,NA,60,65,64,65,NA,NA,NA,NA,10.4,65,6.5,65,0.003,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,7,65,3.9,65,11.1,65,NA,NA
"08:00:00 13/11/2007",NA,NA,NA,NA,NA,NA,48,65,57,65,NA,NA,NA,NA,10.6,65,6.9,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,5,65,4.3,65,11.3,65,NA,NA
"08:07:00 06/02/1991",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,9.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,65,14,65,NA,NA
"08:10:00 11/03/2008",NA,NA,NA,NA,NA,NA,40,65,60,65,NA,NA,NA,NA,8.1,65,6.9,65,0.003,65,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,3.4,65,14.3,65,NA,NA
"08:10:00 14/11/2013",NA,NA,NA,NA,NA,NA,160,1,43,1,NA,NA,NA,NA,8.7,1,4.2,1,0.003,1,NA,NA,NA,NA,0.9,1,NA,NA,NA,NA,0.41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,1,19,1,17.3,1,10.3,1,NA,NA
"08:10:00 15/10/2008",NA,NA,NA,NA,NA,NA,48,65,81,65,NA,NA,NA,NA,9.9,65,6.6,65,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,5.2,65,8.4,65,NA,NA
