"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:52:00 10/08/1994",NA,NA,NA,NA,NA,NA,NA,NA,45,65,300,65,NA,NA,10.2,65,6.7,65,0.03,65,1.5,65,NA,NA,NA,NA,NA,NA,1.8,65,0.17,65,110,65,92,65,9,65,NA,NA
"10:55:00 02/03/2009",NA,NA,0.001,65,2e-04,65,0.003,65,38,65,524,65,0.005,65,8.6,65,7.4,65,0.003,65,0.86,65,0.002,65,1e-04,65,0.006,65,0.005,65,0.09,65,57,65,108,65,17.7,65,0.03,65
"10:55:00 24/09/2001",NA,NA,NA,NA,NA,NA,NA,NA,40,65,400,65,NA,NA,9,65,7.2,65,0.04,65,0.75,65,NA,NA,NA,NA,NA,NA,0.95,65,0.16,65,29,65,31,65,15.7,65,NA,NA
"11:00:00 02/12/2010",NA,NA,0.001,1,2e-04,1,0.005,1,100,1,416,1,0.003,1,7.7,1,7.2,1,0.025,1,1.2,1,0.003,1,1e-04,1,0.005,1,0.96,1,0.16,1,60,1,74,1,19.8,1,0.015,1
"11:00:00 04/05/2020",NA,NA,0.001,1,2e-04,1,0.001,1,120,1,328,1,0.004,1,8.7,1,6.6,1,0.044,1,1.6,1,0.002,1,1e-04,1,0.003,1,1.3,1,0.22,1,80,1,87.7,1,12.2,1,0.012,1
"11:00:00 07/02/2013",NA,NA,0.001,1,2e-04,1,0.004,1,45,1,439,1,0.004,1,8,1,7.4,1,0.02,1,0.94,1,0.002,1,1e-04,1,0.003,1,0.59,1,0.16,1,97,1,140,1,22.7,1,0.008,1
"11:00:00 07/11/2019",NA,NA,0.001,1,2e-04,1,0.002,1,90,1,510,1,0.002,1,8.9,1,7.08,1,0.089,1,1.9,1,0.001,1,1e-04,1,0.003,1,0.91,1,0.3,1,71,1,76.1,1,14.1,1,0.005,1
"11:00:00 10/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,70,65,500,65,NA,NA,10.6,65,7,65,0.09,65,2.1,65,NA,NA,NA,NA,NA,NA,1.3,65,0.36,65,74,65,47.5,65,11,65,NA,NA
"11:00:00 15/03/2006",NA,NA,0.001,65,2e-04,65,0.005,65,50,65,592,65,0.004,65,8.1,65,7.3,65,0.008,65,0.65,65,0.002,65,1e-04,65,0.003,65,0.91,65,0.02,65,62,65,85,65,NA,NA,0.01,65
"11:01:00 11/07/2018",NA,NA,0.001,1,2e-04,1,0.004,1,64,1,527,1,0.001,1,10.3,1,7.1,1,0.028,1,0.95,1,0.002,1,1e-04,1,0.003,1,3.4,1,0.17,1,55,1,59.9,1,9.4,1,0.009,1
