"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"13:15:00 22/11/1994",NA,NA,NA,NA,NA,NA,NA,NA,30,65,190,65,NA,NA,9.4,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.003,65,0.03,65,12,65,3.4,65,20,65,NA,NA,NA,NA
"13:15:00 23/03/2005",NA,NA,0.001,65,2e-04,65,0.001,65,8,65,345,65,0.003,65,7.9,65,7.2,65,0.003,65,0.23,65,0.001,65,1e-04,65,0.001,65,0.003,65,0.01,65,1,65,NA,NA,20,65,0.002,65,NA,NA
"13:20:00 09/06/2016",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,269,1,0.001,1,9.7,1,7.6,1,0.011,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.57,1,0.007,1,NA,NA,5.6,1,12.7,1,0.001,1,NA,NA
"13:20:00 30/10/1995",NA,NA,NA,NA,NA,NA,NA,NA,65,65,120,65,NA,NA,8.8,65,7,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.35,65,0.02,65,3,65,12,65,18.5,65,NA,NA,NA,NA
"13:25:00 22/03/2006",NA,NA,0.001,65,2e-04,65,0.001,65,12,65,453,65,0.002,65,9.6,65,7.4,65,0.003,65,0.14,65,0.001,65,1e-04,65,0.001,65,0.009,65,0.02,65,4,65,4.2,65,22.9,65,0.002,65,NA,NA
"13:27:00 29/11/2017",NA,NA,0.001,1,2e-04,1,0.001,1,6,1,347,1,0.001,1,8.7,1,7.9,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.011,1,4,1,7.3,1,27.6,1,0.001,1,NA,NA
"13:30:00 02/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,14,65,190,65,NA,NA,10.2,65,7.4,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.16,65,0.02,65,7,65,6.1,65,13.5,65,NA,NA,NA,NA
"13:30:00 06/12/2007",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,181,65,0.001,65,9,65,7.7,65,0.003,65,0.26,65,0.001,65,1e-04,65,0.001,65,0.15,65,0.02,65,6,65,6,65,26.3,65,0.006,65,NA,NA
"13:30:00 09/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,20,65,230,65,NA,NA,9.2,65,7.4,65,0.003,65,0.45,65,NA,NA,NA,NA,NA,NA,0.004,65,0.02,65,10,65,2.5,65,22.5,65,NA,NA,NA,NA
"13:30:00 12/10/2010",NA,NA,0.001,1,2e-04,1,0.001,1,16,1,201,1,0.001,1,8.6,1,7.1,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.014,1,4,1,5.7,1,20.9,1,0.005,1,NA,NA
"13:30:00 17/10/2002",NA,NA,NA,NA,NA,NA,NA,NA,12,65,270,65,NA,NA,10.1,65,6.7,65,0.003,65,0.31,65,NA,NA,NA,NA,NA,NA,0.004,65,0.03,65,8,65,3.8,65,20,65,NA,NA,NA,NA
"13:30:00 18/01/2006",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,309,65,0.002,65,8.2,65,7.1,65,0.01,65,0.29,65,0.001,65,1e-04,65,0.002,65,0.01,65,0.03,65,4,65,6.6,65,NA,NA,0.005,65,NA,NA
"13:30:00 18/04/1994",NA,NA,NA,NA,NA,NA,NA,NA,15,65,200,65,NA,NA,11.6,65,6.6,65,0.005,65,0.2,65,NA,NA,NA,NA,NA,NA,0.2,65,0.01,65,6,65,5.4,65,17,65,NA,NA,NA,NA
"13:30:00 20/01/2000",NA,NA,NA,NA,NA,NA,NA,NA,18,65,300,65,NA,NA,NA,NA,7.5,65,0.003,65,0.26,65,NA,NA,NA,NA,NA,NA,0.02,65,0.02,65,7,65,5.3,65,27.5,65,NA,NA,NA,NA
"13:30:00 20/08/1996",NA,NA,NA,NA,NA,NA,NA,NA,16,65,120,65,NA,NA,10.5,65,7.4,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,4,65,4.6,65,11,65,NA,NA,NA,NA
"13:30:00 22/02/2006",NA,NA,0.001,65,2e-04,65,0.001,65,15,65,407,65,0.001,65,7,65,7.3,65,0.003,65,0.18,65,0.001,65,1e-04,65,0.001,65,0.003,65,0.03,65,4,65,8.1,65,25.4,65,0.002,65,NA,NA
"13:30:00 22/02/2012",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,198,1,0.001,1,7.6,1,7.4,1,0.009,1,0.22,1,0.001,1,1e-04,1,0.001,1,0.006,1,0.023,1,5,1,5.6,1,22.6,1,0.001,1,NA,NA
"13:30:00 23/12/2010",NA,NA,0.001,1,2e-04,1,0.001,1,28,1,109,1,0.001,1,7.8,1,7.3,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.027,1,6,1,5.6,1,21.8,1,0.002,1,NA,NA
"13:30:00 27/03/2012",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,150,1,0.001,1,8.1,1,7,1,0.004,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.16,1,0.016,1,4,1,8,1,19.4,1,0.003,1,NA,NA
"13:32:00 29/05/2018",NA,NA,0.005,1,2e-04,1,0.01,1,24,1,476,1,0.27,1,8.9,1,7.1,1,0.003,1,0.37,1,0.001,1,1e-04,1,0.013,1,0.003,1,0.019,1,2,1,6.6,1,12.6,1,0.83,1,NA,NA
"13:35:00 04/01/2001",NA,NA,NA,NA,NA,NA,NA,NA,18,65,250,65,NA,NA,8.5,65,7.5,65,0.003,65,0.27,65,NA,NA,NA,NA,NA,NA,0.01,65,0.05,65,7,65,6.5,65,27.5,65,NA,NA,NA,NA
"13:40:00 16/01/2012",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,180,1,0.001,1,8.5,1,7.5,1,0.008,1,0.29,1,0.001,1,1e-04,1,0.001,1,0.012,1,0.021,1,6,1,6.4,1,24.1,1,0.003,1,NA,NA
"13:40:00 17/03/2004",NA,NA,0.001,65,2e-04,65,0.001,65,12,65,410,65,0.001,65,8.9,65,7.2,65,0.003,65,0.24,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,6,65,4.8,65,22,65,0.007,65,NA,NA
"13:40:00 17/09/2013",NA,NA,0.001,1,2e-04,1,0.001,1,18,1,149,1,0.001,1,9.3,1,7.1,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.36,1,0.009,1,3,1,4.7,1,15,1,0.003,1,NA,NA
"13:40:00 21/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,20,65,300,65,NA,NA,8.6,65,7.4,65,0.006,65,0.26,65,NA,NA,NA,NA,NA,NA,0.006,65,0.02,65,3,65,1.5,65,28,65,NA,NA,NA,NA
"13:43:00 26/02/2018",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,398,1,0.001,1,6.8,1,7.3,1,0.003,1,0.32,1,0.001,1,1e-04,1,0.002,1,0.013,1,0.016,1,3,1,6.4,1,22.1,1,0.002,1,NA,NA
