"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"08:30:00 02/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,417,65,NA,NA,NA,NA,NA,NA,6.9,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,37,65,NA,NA,21,65,NA,NA,NA,NA
"08:30:00 09/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,373,65,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,52,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 10/11/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,287,1,NA,NA,NA,NA,NA,NA,6.7,1,7.3,1,0.029,1,NA,NA,NA,NA,NA,NA,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,NA,NA,110,1,89.1,1,18.7,1,NA,NA,NA,NA
"08:30:00 13/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,384,65,NA,NA,NA,NA,NA,NA,11.3,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,62,65,NA,NA,20.3,65,NA,NA,NA,NA
"08:30:00 24/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,360,65,NA,NA,NA,NA,NA,NA,7.4,65,7.1,65,0.008,65,NA,NA,NA,NA,NA,NA,0.78,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,73,65,NA,NA,22.8,65,NA,NA,NA,NA
"08:30:00 24/02/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1,340,1,NA,NA,NA,NA,NA,NA,5.9,1,7.3,1,0.029,1,NA,NA,NA,NA,NA,NA,0.97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,110,1,84.4,1,19.1,1,NA,NA,NA,NA
"08:30:00 29/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,290,65,NA,NA,NA,NA,NA,NA,6.6,65,6.1,65,0.02,65,NA,NA,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,35,65,NA,NA,20.9,65,NA,NA,NA,NA
"08:30:00 31/10/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,370,65,NA,NA,NA,NA,NA,NA,7.4,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,44,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:35:00 17/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,1,NA,NA,9.68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:35:00 29/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,1180,65,NA,NA,NA,NA,NA,NA,7,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,38,65,NA,NA,19.8,65,NA,NA,NA,NA
"08:35:00 31/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,370,65,NA,NA,NA,NA,NA,NA,5.9,65,7.1,65,0.09,65,NA,NA,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,60,65,NA,NA,23.2,65,NA,NA,NA,NA
"08:36:00 06/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,1,NA,NA,8.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:37:00 30/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,305,65,NA,NA,NA,NA,NA,NA,5.6,65,6.7,65,0.15,65,NA,NA,NA,NA,NA,NA,0.84,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,65,NA,NA,55,65,NA,NA,25.9,65,NA,NA,NA,NA
"08:40:00 12/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,1413,65,NA,NA,NA,NA,NA,NA,6,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,31,65,NA,NA,21.6,65,NA,NA,NA,NA
"08:40:00 16/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,369,65,NA,NA,NA,NA,NA,NA,6.6,65,6.8,65,0.04,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,57,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 20/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,374,65,NA,NA,NA,NA,NA,NA,7.7,65,6.9,65,0.009,65,NA,NA,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,99,65,NA,NA,17.9,65,NA,NA,NA,NA
"08:40:00 21/02/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,330,65,NA,NA,NA,NA,NA,NA,6,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.67,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,49,65,NA,NA,20.5,65,NA,NA,NA,NA
"08:40:00 22/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,65,320,65,NA,NA,NA,NA,NA,NA,5.9,65,6.5,65,0.01,65,NA,NA,NA,NA,NA,NA,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,53,65,NA,NA,17.7,65,NA,NA,NA,NA
"08:45:00 05/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,263,65,NA,NA,NA,NA,NA,NA,7.3,65,6.7,65,0.13,65,NA,NA,NA,NA,NA,NA,0.86,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,65,NA,NA,70,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 06/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,290,65,NA,NA,NA,NA,NA,NA,8.6,65,6.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.55,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,64,65,NA,NA,20.6,65,NA,NA,NA,NA
"08:45:00 07/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,376,65,NA,NA,NA,NA,NA,NA,7.4,65,7,65,0.04,65,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,55,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 12/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,272,65,NA,NA,NA,NA,NA,NA,7.3,65,7.1,65,0.006,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,52,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 17/10/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,220,1,NA,NA,NA,NA,NA,NA,11.6,1,7.4,1,0.015,1,NA,NA,NA,NA,NA,NA,0.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,54,1,80.2,1,14.6,1,NA,NA,NA,NA
"08:45:00 20/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,324,65,NA,NA,NA,NA,NA,NA,6.5,65,6.8,65,0.02,65,NA,NA,NA,NA,NA,NA,0.77,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,51,65,NA,NA,22.1,65,NA,NA,NA,NA
"08:50:00 06/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,377,65,NA,NA,NA,NA,NA,NA,6.5,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.56,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,50,65,NA,NA,22.6,65,NA,NA,NA,NA
"08:50:00 07/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,350,65,NA,NA,NA,NA,NA,NA,7.7,65,6.8,65,0.01,65,NA,NA,NA,NA,NA,NA,0.91,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,53,65,NA,NA,18.1,65,NA,NA,NA,NA
"08:50:00 08/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,270,65,NA,NA,NA,NA,NA,NA,8.2,65,7.1,65,0.03,65,NA,NA,NA,NA,NA,NA,0.61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,56,65,NA,NA,16.1,65,NA,NA,NA,NA
"08:50:00 10/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,260,65,NA,NA,NA,NA,NA,NA,NA,NA,7.4,65,0.01,65,NA,NA,NA,NA,NA,NA,0.56,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,44,65,NA,NA,18.9,65,NA,NA,NA,NA
"08:50:00 13/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,200,65,NA,NA,NA,NA,NA,NA,6.8,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,110,65,NA,NA,20.8,65,NA,NA,NA,NA
"08:50:00 28/12/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,118,1,NA,NA,NA,NA,NA,NA,9,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,1,20,1,NA,NA,NA,NA
"08:55:00 06/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,406,65,NA,NA,NA,NA,NA,NA,7.8,65,6.9,65,0.008,65,NA,NA,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,52,65,NA,NA,22.2,65,NA,NA,NA,NA
"08:55:00 09/10/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,NA,NA,NA,NA,8.9,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,33,65,NA,NA,15.1,65,NA,NA,NA,NA
"08:55:00 14/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,356,65,NA,NA,NA,NA,NA,NA,8.4,65,7,65,0.02,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,49,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:55:00 17/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,260,65,NA,NA,NA,NA,NA,NA,7.4,65,6.4,65,0.01,65,NA,NA,NA,NA,NA,NA,0.76,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,45,65,NA,NA,20.7,65,NA,NA,NA,NA
"08:55:00 20/11/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,251,65,NA,NA,NA,NA,NA,NA,7.5,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,58,65,NA,NA,18.7,65,NA,NA,NA,NA
"08:55:00 21/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,365,65,NA,NA,NA,NA,NA,NA,7.6,65,7,65,0.02,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,65,NA,NA,0.17,65,NA,NA,51,65,NA,NA,18.3,65,NA,NA,NA,NA
"08:55:00 27/01/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,368,1,NA,NA,NA,NA,NA,NA,6.1,1,7,1,0.02,1,NA,NA,NA,NA,NA,NA,0.64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,49,1,57.2,1,21.6,1,NA,NA,NA,NA
"09:00:00 08/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,1,NA,NA,9.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,1,0.093,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:00:00 15/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,911,65,NA,NA,NA,NA,NA,NA,7.7,65,7,65,0.004,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,32,65,NA,NA,21.8,65,NA,NA,NA,NA
"09:00:00 19/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,313,65,NA,NA,NA,NA,NA,NA,7.6,65,6.9,65,0.01,65,NA,NA,NA,NA,NA,NA,0.61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,45,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:00:00 25/07/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,364,65,NA,NA,NA,NA,NA,NA,10.5,65,6.8,65,0.01,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,32,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:05:00 28/08/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,505,65,NA,NA,NA,NA,NA,NA,10,65,7.6,65,0.01,65,NA,NA,NA,NA,NA,NA,0.75,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,44,65,NA,NA,10.5,65,NA,NA,NA,NA
"09:06:00 11/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,1,NA,NA,9.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:10:00 09/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.37,1
"09:10:00 10/10/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,540,65,NA,NA,NA,NA,NA,NA,8.5,65,7.3,65,0.03,65,NA,NA,NA,NA,NA,NA,0.64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,49,65,NA,NA,NA,NA,NA,NA,7.7,65
"09:10:00 15/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,280,65,NA,NA,NA,NA,NA,NA,7.7,65,6.7,65,0.01,65,NA,NA,NA,NA,NA,NA,0.82,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,76,65,NA,NA,16.9,65,NA,NA,NA,NA
"09:13:00 12/09/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,386,65,NA,NA,NA,NA,NA,NA,7,65,6.9,65,0.02,65,NA,NA,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,52,65,NA,NA,NA,NA,NA,NA,NA,NA
