"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:00:00 02/06/2020",NA,NA,68,1,11.08,1,6.97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,10.4,1
"13:00:00 04/03/2009",32,65,58,65,8.3,65,6.9,65,0.003,65,0.19,65,0.01,65,NA,NA,0.01,65,4,65,4.6,65,18,65
"13:00:00 05/09/2012",64,1,91,1,10.9,1,7.1,1,0.003,1,0.28,1,0.25,1,NA,NA,0.016,1,3,1,12.5,1,12,1
"13:00:00 05/10/2011",50,1,90,1,9.8,1,7.1,1,0.007,1,0.28,1,0.23,1,NA,NA,0.02,1,6,1,12.6,1,14,1
"13:00:00 06/02/2013",35,1,86,1,8.2,1,6.7,1,0.004,1,0.24,1,0.005,1,NA,NA,0.039,1,5,1,5.1,1,23,1
"13:00:00 06/05/2014",45,1,79,1,10.3,1,6.8,1,0.003,1,0.16,1,0.043,1,NA,NA,0.013,1,2,1,4.7,1,12.5,1
"13:00:00 07/09/2011",70,1,100,1,12,1,6.8,1,0.003,1,0.32,1,0.25,1,NA,NA,0.013,1,6,1,15.2,1,11,1
"13:00:00 07/10/2009",35,1,76.2,1,9.9,1,7.6,1,0.016,1,0.08,1,0.081,1,NA,NA,0.03,1,4,1,13.9,1,12.5,1
"13:00:00 07/11/2012",45,1,84,1,8.1,1,7.1,1,0.003,1,0.23,1,0.13,1,NA,NA,0.008,1,2,1,5.7,1,17.5,1
"13:05:00 03/02/2010",40,1,70.7,1,6.9,1,6.7,1,0.001,1,0.29,1,0.003,1,NA,NA,0.013,1,9,1,4.9,1,24.5,1
"13:15:00 01/04/2019",NA,NA,68,1,9.17,1,7.01,1,0.003,1,0.19,1,0.011,1,NA,NA,0.005,1,NA,NA,2.6,1,16.5,1
"13:15:00 07/12/2016",NA,NA,72,1,8.5,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,1,20.5,1
"13:15:00 09/01/2013",40,1,92,1,8.7,1,6.7,1,0.003,1,0.26,1,0.007,1,NA,NA,0.013,1,12,1,5.3,1,22,1
"13:15:00 13/04/2011",90,1,92,1,9.5,1,6.6,1,0.003,1,0.5,1,0.22,1,NA,NA,0.023,1,23,1,34,1,15.5,1
"13:17:00 15/08/2006",NA,NA,136,65,11.3,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,65,9.5,65
"13:20:00 03/01/2018",NA,NA,88,1,8,1,7,1,0.003,1,0.44,1,0.094,1,NA,NA,0.057,1,NA,NA,32,1,21,1
"13:20:00 04/12/2013",45,1,77,1,8.6,1,7.3,1,0.003,1,0.21,1,0.063,1,NA,NA,0.013,1,3,1,6,1,20,1
"13:20:00 05/04/2016",NA,NA,70,1,9.1,1,6.8,1,0.004,1,0.18,1,0.034,1,NA,NA,0.012,1,NA,NA,5.3,1,16.5,1
"13:20:00 05/06/2013",35,1,138,1,10.1,1,7,1,0.003,1,0.16,1,0.052,1,NA,NA,0.014,1,3,1,5.1,1,11,1
"13:20:00 07/02/2017",NA,NA,68,1,8.8,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,1,20,1
"13:20:00 11/02/2009",50,65,78,65,8.8,65,7.2,65,0.003,65,0.28,65,0.06,65,NA,NA,0.02,65,21,65,3.2,65,18,65
"13:25:00 07/05/2008",30,65,73,65,10.8,65,6.8,65,0.003,65,0.21,65,0.01,65,NA,NA,0.006,65,2,65,4.1,65,12.2,65
"13:25:00 14/10/2010",30,1,66,1,9.1,1,7,1,0.003,1,0.21,1,0.041,1,NA,NA,0.012,1,3,1,6.6,1,16,1
"13:25:00 19/09/2007",45,65,75,65,13.1,65,6.2,65,0.003,65,0.25,65,0.21,65,NA,NA,0.02,65,5,65,7.7,65,11.8,65
"13:30:00 02/12/2014",40,1,79,1,8.2,1,6.8,1,0.003,1,0.16,1,0.021,1,NA,NA,0.005,1,4,1,5.4,1,22,1
"13:30:00 06/12/2017",NA,NA,68,1,8.6,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,19.5,1
"13:30:00 08/08/2007",50,65,83,65,12.6,65,7.2,65,0.003,65,0.26,65,0.29,65,NA,NA,0.05,65,6,65,13.3,65,9.8,65
"13:30:01 02/12/2014",2,1,NA,NA,NA,NA,NA,NA,0.003,1,0.01,1,0.003,1,NA,NA,0.005,1,2,1,NA,NA,NA,NA
"13:30:02 02/12/2014",40,1,NA,NA,NA,NA,NA,NA,0.003,1,0.18,1,0.02,1,NA,NA,0.005,1,4,1,NA,NA,NA,NA
"13:35:00 11/05/2017",NA,NA,74,1,10.3,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1,11,1
"13:40:00 02/03/2020",NA,NA,70,1,8.64,1,6.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,19.5,1
"13:40:00 17/09/2009",30,1,111.7,1,9.3,1,6.9,1,0.001,1,0.19,1,0.037,1,NA,NA,0.005,1,2,1,3.4,1,12.5,1
"13:45:00 01/12/2020",NA,NA,75,1,8.74,1,6.93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,1,20,1
"13:45:00 02/08/2016",NA,NA,80,1,10,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,1,10.5,1
